Name,Score
Intel Core Ultra 9 290HX Plus,64936
AMD Ryzen 9 9955HX3D,62667
AMD Ryzen 9 7945HX3D,57757
Apple M5 Pro 18 Core,57430
Apple M5 Max 18 Core,57360
Intel Core Ultra 9 285HX,57315
AMD Ryzen 9 9955HX,55926
Intel Core Ultra 9 275HX,55901
AMD Ryzen AI Max+ 395,55104
AMD Ryzen 9 7945HX,54133
AMD Ryzen 9 7940HX,53334
AMD Ryzen AI Max+ Pro 395,51758
AMD Ryzen 9 8945HX,51733
AMD Ryzen 9 9850HX,51722
AMD Ryzen 9 8940HX,50247
Apple M5 Pro 15 Core,49748
Intel Core Ultra 7 255HX,48945
Intel Core Ultra 7 265HX,48430
Intel Core i9-13980HX,45567
AMD Ryzen 9 7845HX,44686
AMD RYZEN AI MAX+ 392,44601
Intel Core i9-14900HX,44090
Apple M4 Max 16 Core,43957
AMD Ryzen 7 8840HX,43222
AMD Ryzen AI Max Pro 390,42944
Intel Core i9-13900HX,41835
AMD Ryzen AI Max 390,41552
AMD Ryzen 7 7840HX,41407
Apple M3 Max 16 Core,41276
Intel Core Ultra 5 235HX,41115
Intel Core i9-13950HX,40661
Apple M4 Max 14 Core,38445
AMD Ryzen AI 9 HX 470,38183
Apple M4 Pro 14 Core,38026
Intel Core i7-14700HX,36854
Apple M3 Max 14 Core,36397
Intel Core i7-13850HX,36390
Intel Core Ultra X9 388H,36386
AMD Ryzen AI 9 HX 375,35314
Intel Core Ultra 9 386H,35307
AMD Ryzen AI 9 HX 370,35077
AMD Ryzen AI 9 HX PRO 470,34603
Intel Core Ultra 7 366H,34554
Intel Core Ultra X7 368H,34400
Intel Core Ultra 7 265H,34160
Intel Core Ultra 7 356H,33793
Intel Core i7-14650HX,33753
Intel Core Ultra X7 358H,33660
AMD Ryzen AI 9 HX PRO 375,33597
AMD Ryzen AI Max 385,33476
AMD Ryzen AI 9 HX PRO 370,33230
Intel Core i9-12900HX,33047
Apple M4 Pro 12 Core,32738
AMD Ryzen 7 7745HX,32437
AMD Ryzen 7 7700G,32432
AMD Ryzen AI Max Pro 385,31929
Qualcomm Snapdragon X Elite - X1E001DE,31863
Intel Core i7-13700HX,31818
AMD Ryzen AI 9 H 465,31649
AMD Ryzen 7 8745HX,31477
Intel Core i7-12800HX,31226
Intel Core i9-12950HX,31188
Intel Core i7-12850HX,30554
AMD Ryzen 9 PRO 8945HS,30536
AMD Ryzen AI 9 H 365,30502
AMD Ryzen AI 9 365,30346
Intel Core i7-13650HX,30245
AMD Ryzen AI 9 465,30152
AMD Ryzen 9 8945H,29967
AMD Ryzen 9 7940HS,29867
Intel Core Ultra 5 235H,29747
Intel Core Ultra 5 338H,29726
